,count,mean,std,min,25%,50%,75%,max,skewness,kurtosis,missing_pct
passing_interceptionPct,829.0,2.388785867581079,1.0243734222776761,0.0,1.862197369337082,2.4390242993831635,3.050847537815571,5.206463113427162,-0.410738416544857,0.3339641279982848,0.0
kicking_fieldGoalAttempts60_99,829.0,0.1519903498190591,0.41825669937662463,0.0,0.0,0.0,0.0,4.0,3.3264211274371336,15.006303242085366,0.0
passing_netPassingAttempts,829.0,550.001220703125,159.66110229492188,0.0,538.0,584.0,628.0,776.0,-2.6514039039611816,6.699948310852051,0.0
total_pointDifferential,829.0,0.0,101.73426120723363,-261.0,-73.0,0.0,73.0,315.0,0.0032717847574180964,-0.5061571913361615,0.0
defensive_avgSackYards,829.0,6.063312222787928,1.7484518771094286,0.0,5.931034564971924,6.461538314819336,6.897435665130615,8.707317352294922,-2.713385474312706,6.952550847652834,0.0
scoring_passingTouchdowns,829.0,22.004825592041016,9.4563570022583,0.0,17.0,22.0,28.0,55.0,-0.17315040528774261,0.8583422899246216,0.0
punting_puntsBlockedPct,829.0,0.5213505740216208,0.8700124683342808,0.0,0.0,0.0,1.2048192771084338,5.769230769230769,1.772212114898908,3.490365289731017,0.0
punting_touchbacks,829.0,5.496984481811523,3.117513656616211,0.0,3.0,5.0,7.0,17.0,0.33085164427757263,0.03369348868727684,0.0
punting_longPunt,829.0,60.61761158021713,17.24453924876185,0.0,60.0,64.0,68.0,90.0,-2.825358830368004,7.503934762931447,0.0
passing_netYardsPerGame,829.0,299.33292237280915,90.01009837797494,0.0,286.125,315.70588235294116,347.75,471.8235294117647,-2.338671646323697,5.517481536969836,0.0
passing_passingYardsAtCatch,829.0,1503.0313720703125,1053.0748291015625,0.0,0.0,1947.0,2296.0,3589.0,-0.5408053994178772,-1.3238747119903564,0.0
passing_netPassingYards,829.0,3148.413818359375,1060.169677734375,0.0,2799.0,3277.0,3770.0,5704.0,-1.4902478456497192,2.832592248916626,0.0
general_fumbles,829.0,20.696020126342773,7.948763847351074,0.0,17.0,21.0,26.0,40.0,-0.840334951877594,1.0954127311706543,0.0
road_losses,829.0,4.594692400482509,1.78960250038229,0.0,3.0,5.0,6.0,9.0,-0.16272900234839036,-0.5237208278287593,0.0
total_differential,829.0,0.0,101.73426120723363,-261.0,-73.0,0.0,73.0,315.0,0.0032717847574180964,-0.5061571913361615,0.0
passing_yardsPerCompletion,829.0,9.226833996352873,2.683655676281487,0.0,8.98232364654541,9.828908920288086,10.585165023803711,13.060525894165039,-2.637953703160262,6.6269733306357335,0.0
defensive_totalTackles,829.0,795.367919921875,218.10836791992188,0.0,815.0,846.0,879.0,998.0,-3.240431547164917,9.06173038482666,0.0
total_avgPointsAgainst,829.0,22.06018502093238,3.644654624445419,9.882352941176471,19.6875,21.823529411764707,24.470588235294116,32.4375,0.016766151775118702,-0.1006248928724256,0.0
rushing_netYardsPerGame,829.0,299.33292237280915,90.01009837797494,0.0,286.125,315.70588235294116,347.75,471.8235294117647,-2.338671646323697,5.517481536969836,0.0
rushing_totalYards,829.0,4908.21728515625,1494.5986328125,0.0,4659.0,5205.0,5751.0,8021.0,-2.237143039703369,5.132458209991455,0.0
passing_netYardsPerPassAttempt,829.0,4.638885591803759,1.551381216896684,0.0,4.144376754760742,4.854430198669434,5.562410354614258,8.262351036071777,-1.5589121344912928,2.9310185849264383,0.0
defensive_assistTackles,829.0,184.55368041992188,70.28994750976562,0.0,151.0,187.0,232.0,367.0,-0.8225048780441284,1.112919569015503,0.0
punting_grossAvgPuntYards,829.0,41.060105647856716,11.36911670699594,0.0,41.61842105263158,43.863013698630134,45.84126984126984,53.1,-3.1342337692136715,8.61453984036459,0.0
kicking_fieldGoalPct,829.0,76.9478855848787,22.058918478249517,0.0,76.0,82.75862068965517,87.5,100.0,-2.798143470062519,7.153205942955488,0.0
road_wins,829.0,3.5729794933655006,1.856843570219355,0.0,2.0,3.0,5.0,8.0,0.13421780204605988,-0.6581262443305111,0.0
kicking_fieldGoalsMade1_19,829.0,0.3148371531966224,0.5926558408310112,0.0,0.0,0.0,1.0,4.0,2.003196110323327,4.30690789346097,0.0
total_losses,829.0,8.16767189384801,3.0267913222819733,0.0,6.0,8.0,10.0,16.0,0.02529453776187856,-0.5273878926608098,0.0
kicking_fieldGoalAttempts,829.0,29.150784077201447,9.613305492931268,0.0,27.0,31.0,35.0,52.0,-1.6477638308011602,3.2320101386068782,0.0
total_pointsFor,829.0,360.74547647768395,75.58366525610444,161.0,305.0,357.0,414.0,606.0,0.23334341693304647,-0.19491389631004008,0.0
defensive_longInterception,829.0,51.27020506634499,25.327742376593598,0.0,35.0,49.0,68.0,108.0,0.041000314036003585,-0.32159936775730946,0.0
passing_completionPct,829.0,53.66912671107578,15.128608171680463,0.0,53.584229946136475,57.06896781921387,60.58700084686279,70.42514085769653,-2.94700009507781,7.837435713040215,0.0
kicking_fieldGoalAttemptYards,829.0,1089.9505615234375,371.56182861328125,0.0,972.0,1130.0,1306.0,2106.0,-1.4061968326568604,2.663910388946533,0.0
passing_interceptions,829.0,13.991556167602539,5.934520244598389,0.0,11.0,14.0,18.0,32.0,-0.4589371681213379,0.435955673456192,0.0
scoring_fieldGoals,829.0,24.12183353437877,8.471228288234602,0.0,21.0,25.0,29.0,44.0,-1.2677031062463977,2.1677830259062474,0.0
passing_totalPointsPerGame,829.0,22.006940502377066,4.433337001944232,10.0625,18.75,21.875,25.0,37.875,0.28278112539460276,0.03298864539071111,0.0
receiving_receivingYardsAtCatch,829.0,2359.688720703125,953.40283203125,0.0,1925.0,2276.0,2862.0,5189.0,-0.316227525472641,1.0312697887420654,0.0
passing_passingYards,829.0,3148.413818359375,1060.169677734375,0.0,2799.0,3277.0,3770.0,5704.0,-1.4902478456497192,2.832592248916626,0.0
defensiveInterceptions_interceptions,829.0,14.148371696472168,6.202963352203369,0.0,11.0,14.0,18.0,33.0,-0.2409660667181015,0.4471275210380554,0.0
receiving_receivingTargets,829.0,500.7804583835947,147.35463664688507,0.0,485.0,531.0,576.0,741.0,-2.5224058533966867,6.230527393056295,0.0
miscellaneous_thirdDownConvPct,829.0,36.15193908043402,10.767293698472061,0.0,34.67741935483871,38.36734693877551,41.517857142857146,56.016597510373444,-2.417849553033096,5.825494456287682,0.0
passing_twoPtPassAttempts,829.0,1.8347406513872135,1.776918392192544,0.0,0.0,1.0,3.0,11.0,1.319053351475327,2.2601680699008537,0.0
returning_puntReturnTouchdowns,829.0,0.372738242149353,0.6481335759162903,0.0,0.0,0.0,1.0,4.0,1.9081461429595947,4.084487438201904,0.0
kicking_fieldGoalsMade,829.0,24.12183353437877,8.471228288234602,0.0,21.0,25.0,29.0,44.0,-1.2677031062463977,2.1677830259062474,0.0
kicking_extraPointsMade,829.0,33.93244873341375,13.300966926143973,0.0,27.0,34.0,42.0,75.0,-0.6148906815037074,1.110611439288221,0.0
receiving_receptions,829.0,317.5006103515625,99.06903076171875,0.0,297.0,335.0,371.0,508.0,-2.0202667713165283,4.492596626281738,0.0
receiving_receivingFirstDowns,829.0,175.71652221679688,56.63002395629883,0.0,159.0,184.0,209.0,303.0,-1.7696528434753418,3.731452703475952,0.0
rushing_totalOffensivePlays,829.0,955.7659831121833,263.3417275325187,0.0,974.0,1018.0,1064.0,1193.0,-3.188495279010663,8.83930504401739,0.0
scoring_receivingTouchdowns,829.0,22.004825592041016,9.4563570022583,0.0,17.0,22.0,28.0,55.0,-0.17315040528774261,0.8583422899246216,0.0
scoring_totalPointsPerGame,829.0,28.421055665933444,10.061768393529398,0.0,24.625,29.176470588235293,34.3125,58.125,-1.1148223238415242,2.216716141112965,0.0
kicking_fieldGoalsMade50_59,829.0,2.4101326899879374,2.296435718969205,0.0,1.0,2.0,4.0,13.0,1.3175832892524735,1.9869421298816055,0.0
passing_QBRating,829.0,71.30598183724581,22.516600318748793,0.0,65.78476497282585,75.0545054053267,84.20481964324912,117.63549145932,-1.9316427162394216,4.18328566878111,0.0
passing_passingBigPlays,829.0,44.815440289505425,16.054510193133215,0.0,38.0,46.0,55.0,83.0,-1.1335349854237615,1.8654986489374354,0.0
punting_puntsInside20,829.0,23.43546485900879,8.754281044006348,0.0,20.0,24.0,29.0,51.0,-0.894371747970581,1.5220186710357666,0.0
kicking_fieldGoalsMadeYards,829.0,865.0916748046875,318.5657653808594,0.0,740.0,891.0,1058.0,1769.0,-0.9730067849159241,1.629563808441162,0.0
kicking_fieldGoalAttempts40_49,829.0,8.802171290711701,3.886610872221881,0.0,7.0,9.0,11.0,21.0,-0.29224870701436245,0.2380681623360381,0.0
total_avgPointsFor,829.0,22.006940502377066,4.433337001944232,10.0625,18.75,21.875,25.0,37.875,0.28278112539460276,0.03298864539071111,0.0
total_leagueWinPercent,829.0,49.80953901464084,19.062624507441754,0.0,37.5,50.0,64.70588235294117,100.0,-0.05549003050535912,-0.6230546014093674,0.0
passing_quarterbackRating,829.0,71.30598183724581,22.516600318748793,0.0,65.78476497282585,75.0545054053267,84.20481964324912,117.63549145932,-1.9316427162394216,4.18328566878111,0.0
passing_passingFumblesLost,829.0,4.9553680419921875,2.631412982940674,0.0,3.0,5.0,7.0,13.0,0.14463046193122864,-0.10335353761911392,0.0
miscellaneous_thirdDownConvs,829.0,85.67310333251953,26.073532104492188,0.0,82.0,91.0,100.0,139.0,-2.236997127532959,5.166905879974365,0.0
defensive_defensiveTouchdowns,829.0,2.1218335343787698,1.677751116228066,0.0,1.0,2.0,3.0,9.0,0.7530663412566072,0.38584599640367134,0.0
defensive_stuffYards,829.0,353.3329162597656,116.92570495605469,0.0,318.0,373.0,422.0,608.0,-1.625735878944397,3.137420654296875,0.0
kicking_fieldGoalsBlocked,829.0,0.6151990349819059,0.8556776082581745,0.0,0.0,0.0,1.0,5.0,1.5576564183084256,2.7278385181954374,0.0
miscellaneous_firstDownsPenalty,829.0,25.986731001206273,9.894299708225924,0.0,22.0,27.0,32.0,50.0,-0.8583134300452964,1.1632182669680833,0.0
returning_longPuntReturn,829.0,44.54282267792521,25.403975919252453,0.0,25.0,40.0,66.0,99.0,0.23418619835475873,-0.8964580025989024,0.0
returning_kickReturnTouchdowns,829.0,0.34861278533935547,0.6160601377487183,0.0,0.0,0.0,1.0,4.0,1.8807084560394287,3.805561065673828,0.0
total_pointsAgainst,829.0,360.74547647768395,58.14365949557344,168.0,322.0,359.0,400.0,534.0,-0.0679062910043249,-0.022074210318481224,0.0
receiving_receivingYardsAfterCatch,829.0,1249.779296875,879.06103515625,-1.0,0.0,1588.0,1923.0,2827.0,-0.498496413230896,-1.3333741426467896,0.0
returning_kickReturnYards,829.0,1010.1073608398438,492.2001953125,0.0,652.0,1024.0,1413.0,2258.0,-0.21578097343444824,-0.5805200338363647,0.0
returning_kickReturnFairCatches,829.0,0.22798553109169006,1.0413613319396973,0.0,0.0,0.0,0.0,18.0,10.925294876098633,152.994140625,0.0
miscellaneous_firstDowns,829.0,292.6212158203125,87.95475006103516,0.0,279.0,309.0,340.0,450.0,-2.340456485748291,5.530708312988281,0.0
receiving_totalOffensivePlays,829.0,955.7659831121833,263.3417275325187,0.0,974.0,1018.0,1064.0,1193.0,-3.188495279010663,8.83930504401739,0.0
receiving_yardsFromScrimmagePerGame,829.0,299.33292237280915,90.01009837797494,0.0,286.125,315.70588235294116,347.75,471.8235294117647,-2.338671646323697,5.517481536969836,0.0
miscellaneous_thirdDownAttempts,829.0,221.0820265379976,61.639696630654356,0.0,222.0,236.0,248.0,286.0,-3.0589639595410794,8.307820747218923,0.0
kicking_longFieldGoalMade,829.0,49.42219541616405,13.768629523029617,0.0,50.0,53.0,55.0,66.0,-3.066238687408056,8.347609124565267,0.0
miscellaneous_firstDownsRushing,829.0,97.27623748779297,33.751182556152344,0.0,85.0,100.0,117.0,193.0,-1.2383252382278442,2.4478869438171387,0.0
rushing_totalYardsFromScrimmage,829.0,4908.21728515625,1494.5986328125,0.0,4659.0,5205.0,5751.0,8021.0,-2.237143039703369,5.132458209991455,0.0
passing_passingFirstDowns,829.0,176.31362915039062,56.75381851196289,0.0,161.0,184.0,209.0,303.0,-1.778377652168274,3.7583141326904297,0.0
rushing_twoPtRushAttempts,829.0,0.7237635705669482,1.0630724417918944,0.0,0.0,0.0,1.0,9.0,2.345851014642196,8.619125452546989,0.0
passing_passingYardsPerGame,829.0,192.0527034698077,64.1784781736172,0.0,172.625,200.35294117647058,230.1875,335.52941176470586,-1.5314233244163864,2.9831051106454356,0.0
total_OTWins,829.0,0.4764776839565742,0.6852406351524949,0.0,0.0,0.0,1.0,4.0,1.473331755428377,2.3651784809726046,0.0
rushing_totalPointsPerGame,829.0,22.006940502377066,4.433337001944232,10.0625,18.75,21.875,25.0,37.875,0.28278112539460276,0.03298864539071111,0.0
punting_puntReturnYards,829.0,285.0989074707031,141.7733612060547,0.0,202.0,278.0,374.0,793.0,0.15890249609947205,0.290176123380661,0.0
defensive_safeties,829.0,0.46682751178741455,0.7175658345222473,0.0,0.0,0.0,1.0,5.0,1.7090595960617065,3.4689910411834717,0.0
defensive_avgInterceptionYards,829.0,12.742345563321408,5.88939159751771,-0.5,9.600000381469727,12.882352828979492,16.16666603088379,32.117645263671875,-0.08756439917380238,0.5126468246174776,0.0
general_defensiveFumblesTouchdowns,829.0,0.6924004825090471,0.8301112513763456,0.0,0.0,1.0,1.0,5.0,1.2225540275544893,1.6221301750581785,0.0
scoring_totalPoints,829.0,466.351025331725,167.43782050018092,0.0,398.0,479.0,570.0,930.0,-1.0541500233042278,1.9691335474314262,0.0
total_wins,829.0,8.16767189384801,3.1926269238395255,0.0,6.0,8.0,11.0,16.0,-0.06719569707637824,-0.7785563592730487,0.0
rushing_rushingYardsPerGame,829.0,107.2802189030015,35.41536031787857,0.0,96.52941176470588,111.0625,126.1875,207.875,-1.5272033204824218,3.3716985097280703,0.0
home_losses,829.0,3.5729794933655006,1.784540002384472,0.0,2.0,4.0,5.0,8.0,0.11599419597631144,-0.4988925545297165,0.0
receiving_receivingYards,829.0,3609.468017578125,1138.103271484375,0.0,3331.0,3792.0,4261.0,6030.0,-1.9447964429855347,4.215153217315674,0.0
rushing_rushingTouchdowns,829.0,12.761157989501953,6.0798540115356445,0.0,9.0,13.0,16.0,32.0,0.05827443301677704,0.3715617060661316,0.0
road_winPercent,829.0,43.484452486261894,22.32289754405252,0.0,25.0,37.5,62.5,100.0,0.13432330367400142,-0.5786011369625417,0.0
kicking_fieldGoalAttempts30_39,829.0,8.58745476477684,3.722063335097276,0.0,7.0,9.0,11.0,20.0,-0.35712873136635875,0.37821673561782587,0.0
miscellaneous_firstDownsPerGame,829.0,17.846306677073727,5.297265309568845,0.0,17.235294117647058,18.9375,20.529411764705884,27.4375,-2.4436791118718633,5.944546174980012,0.0
passing_totalYards,829.0,4908.21728515625,1494.5986328125,0.0,4659.0,5205.0,5751.0,8021.0,-2.237143039703369,5.132458209991455,0.0
